X,Y,SOCD (MgC/ha)
-55.5761108,-33.0455284,49.81191099
-60.33,-37.11972222,98.10555925
-58.68,-37.77972222,97.22378065
-58.0447235,-32.3844719,81.09584989
-61.6347237,-38.0552483,70.00271129
-59.4272232,-38.3198624,68.03866898
-61.6349983,-38.0541649,62.88357503
-62.36,-37.68972222,61.06447207
-61.3325005,-38.0422783,50.26425636
-59.50972222,-38.54972222,47.76501078
-61.3330574,-38.0429993,45.92988499
-57.8090286,-34.3423615,44.65963992
-62.2931099,-38.1401672,38.2022958
-63.59972222,-32.34972222,36.05017543
-62.9,-36.7,36.05017543
-62.3273048,-38.1612778,35.32850811
-58.0453339,-32.3832512,34.12093856
-60.81666667,-33.55833333,33.75749727
-63.52972222,-32.34972222,33.63622993
-59.86999893,-38.68999863,33.39351474
-62.83330154,-26.75,32.29831376
-57.6211128,-31.8453617,29.72379061
-60.7887764,-38.2347488,27.24691235
-62.61972222,-28.07972222,21.20200901
-63.33,-38.50972222,18.64102038
-63.2,-36.59972222,18.64102038
-61.59,-36.4,2.740812475
-71.51666667,-14,45.35337138
-71.43333333,-14.1,27.74424417
-70.05,9.819722222,63.20294754
-69.58333333,9.916666667,48.67704026
-69.62972222,-51.43972222,22.47313428
-89.04699707,16.48999977,113.2558326
-87.47106326,21.19190254,103.2963459
-100.4389565,21.55255074,96.33719797
-100.1094766,21.32599384,89.9950863
-89.03399658,16.49799919,83.8570787
-89.02200317,16.8239994,81.67725208
-103.1209342,21.66561739,71.53964574
-99.56308296,20.6867819,69.48773278
-89.65017592,19.08204858,65.31954264
-101.6251078,21.33368361,55.62149401
-88.60099792,18.1079998,50.15125575
-89.30594888,18.9404165,47.76501078
-89.48194245,18.35648234,46.61979015
-103.1526859,21.32027714,43.14936686
-89.94447505,18.5463785,43.14936686
-102.2877074,21.6425482,38.44023131
-102.0299639,21.97390586,36.05017543
-101.3062795,21.07677423,36.05017543
-100.1225142,21.13615655,34.84619976
-89.01300049,16.875,34.12093856
-103.4669229,21.07590755,33.63622993
-101.3477589,21.04243311,33.63622993
-100.1483661,21.17521179,33.63622993
-102.1890317,22.03167998,31.19822026
-102.0774735,20.98343599,31.19822026
-103.2502246,20.9172855,29.97013649
-102.5314491,21.3436283,29.97013649
-102.2541597,21.27595054,28.73597072
-97.81530077,18.30398589,28.73597072
-101.9179133,22.11444608,27.49570079
-101.3658747,22.02434375,26.2493045
-94.72555149,16.85497451,26.2493045
-88.58899689,18.22599983,24.87116603
-102.1011492,22.07092836,23.73804363
-101.9700051,21.93901455,23.73804363
-100.6951632,21.28008983,23.73804363
-95.09329557,16.48181806,23.73804363
-101.4853602,21.34871683,21.20200901
-101.4422669,21.09395227,21.20200901
-102.5710892,21.61523197,18.64102038
-102.0319041,21.73005814,18.64102038
-101.9736167,20.99068342,18.64102038
-101.9467034,21.86785123,18.64102038
-101.6652922,21.03100152,18.64102038
-101.3300281,22.07062811,18.64102038
-100.4372652,21.62406691,18.64102038
-102.6562914,21.43663753,17.35111166
-101.3197011,22.14344236,17.35111166
-102.5859776,21.04117687,16.05489632
-101.9214311,21.33628576,16.05489632
-100.7628117,21.41878878,16.05489632
-100.5269817,21.88017667,16.05489632
-102.0308462,22.12656776,14.75235148
-103.0311591,21.17003224,14.31675935
-102.3547952,22.14011184,13.44345422
-101.9896193,21.18229199,13.44345422
-101.6340899,22.04756021,13.44345422
-100.4903375,21.83919809,13.44345422
-101.9400319,22.04420887,12.12818154
-101.8797735,21.13090724,12.12818154
-91.819725,17.7544441,10.93896605
-101.2228271,21.09246761,10.80651034
-101.442711,20.91728314,8.143879707
-109.0301786,28.32898235,188.9284057
-98.60645391,24.7032697,166.7678277
-100.0468082,26.72439399,144.1050451
-99.7944028,24.07572809,144.1050451
-99.50331918,25.9687392,141.6152455
-100.4038925,29.8594437,138.3645091
-107.4185299,27.98568491,135.1198423
-99.8311759,23.85172668,133.7733593
-93.7332535,32.7303619,132.2050106
-101.4834806,29.21249683,129.6369023
-103.8520368,24.75178141,123.8906055
-101.1497176,22.75788683,116.3249521
-99.71527383,23.6642033,113.1762473
-107.711009,27.9535036,112.3779305
-108.3453133,29.17773558,109.9559722
-102.058752,28.04513528,106.6630391
-108.004014,25.38021853,99.85477596
-103.5461135,24.70949116,99.85477596
-101.8300879,29.22932658,99.85477596
-100.3680573,30.2875004,99.33201261
-108.2603069,29.74337345,97.22378065
-100.546669,30.2947216,96.77303091
-101.4283744,27.72985247,96.33719797
-101.810425,28.48261337,92.74246581
-100.3584307,24.68130484,92.74246581
-97.9325027,31.7541676,91.1910577
-104.0851525,24.18679681,90.91580463
-100.5405579,30.2900009,89.90274254
-105.4901762,26.17689509,89.06941829
-101.1981784,29.26525727,89.06941829
-108.2971356,29.54247463,87.20315924
-107.9088829,27.92650497,85.316879
-100.0950867,26.31252994,85.316879
-101.4729234,27.69049812,83.4104281
-100.5500031,30.2902775,81.97604349
-101.15514,28.54287902,81.48365613
-101.0390259,28.50454606,81.48365613
-100.3921514,25.91154197,81.48365613
-100.0264193,25.9286741,81.48365613
-108.6467272,29.71770333,79.53641165
-101.0147358,29.08997078,79.53641165
-99.79205952,26.19050705,79.53641165
-105.5027771,32.8608322,79.34055535
-99.02371368,23.17113361,78.55506463
-105.8437174,27.34186176,77.56854226
-101.1140202,28.15290528,75.57989458
-100.7421175,27.88709446,75.57989458
-102.2237897,29.32102384,74.57773067
-109.3064671,27.98240332,73.57031421
-108.1587236,29.56295568,73.57031421
-106.237315,27.3723905,73.57031421
-98.3966675,31.6797218,71.60767609
-109.0904548,28.89534259,71.53964574
-108.4296426,29.2052528,69.48773278
-106.3974263,26.28465806,69.48773278
-108.217136,29.6538652,67.4144179
-107.7204323,28.42222494,67.4144179
-107.4133534,27.94828905,67.4144179
-102.5018213,28.72232365,67.4144179
-101.131363,29.29657976,67.4144179
-100.7919574,26.95790558,67.4144179
-100.3019792,26.92604551,67.4144179
-100.1448359,26.40643122,67.4144179
-105.4891663,32.8925018,66.85789918
-106.3758253,26.32658561,66.36968526
-106.2976982,25.83883796,66.36968526
-105.091697,25.77396902,66.36968526
-110.3219215,31.00685943,65.31954264
-103.7840737,24.74743601,65.31954264
-101.8253562,29.39662643,65.31954264
-101.6616908,29.28476773,65.31954264
-100.5666656,29.9500008,64.05220221
-107.5011886,28.24296235,63.20294754
-105.7487864,27.36220001,63.20294754
-104.9534874,26.3357775,63.20294754
-102.2423684,28.64566461,63.20294754
-100.8244306,22.83592078,63.20294754
-108.2729552,28.75508063,61.06447207
-107.3670932,27.26258973,61.06447207
-106.1407475,27.86791868,61.06447207
-104.6956495,25.78747499,61.06447207
-104.4845047,25.01499229,61.06447207
-100.6315621,22.46404691,61.06447207
-100.4064616,26.41368115,61.06447207
-98.13450688,24.52249787,61.06447207
-108.8207118,27.45800275,59.98697875
-108.1600113,29.59652624,59.98697875
-110.6007874,29.05228027,58.90395468
-106.346163,26.1907814,58.90395468
-102.0540656,22.33001159,58.90395468
-100.259434,26.20306528,58.90395468
-93.7332535,32.7303314,58.68668438
-107.6684537,27.71600518,57.81537949
-100.9773093,22.87244434,57.81537949
-109.6521434,28.02426513,56.72123277
-106.2913032,27.41738866,56.72123277
-104.5284045,24.3549197,56.72123277
-102.4571225,29.15894553,56.72123277
-101.3113553,29.21961558,56.72123277
-101.2870475,26.94540426,56.72123277
-99.49250162,24.87905701,56.72123277
-108.0822896,29.40045966,55.62149401
-107.518557,25.10107695,55.62149401
-102.3849752,22.37197849,55.62149401
-101.0470766,28.24234286,55.62149401
-107.9055108,29.31492953,54.51614267
-107.8696761,25.44731357,54.51614267
-105.2777004,25.32101657,54.51614267
-104.5290197,25.29485638,54.51614267
-101.6723666,28.37928441,54.51614267
-106.3303674,27.91081613,53.40515813
-101.1291328,24.09011983,53.40515813
-107.4851982,27.41516072,52.28851968
-106.0287597,27.70243922,52.28851968
-103.7108571,24.71807346,52.28851968
-102.6676276,23.66624724,52.28851968
-101.2125029,23.40631241,52.28851968
-101.0937903,24.14217499,52.28851968
-100.6301696,22.7394608,52.28851968
-100.4658356,30.2875004,51.39112417
-106.401304,26.42062937,51.16620658
-100.1116101,25.54508308,51.16620658
-97.930275,31.7538891,50.71568778
-108.4045842,26.31925453,50.03819801
-105.8212994,25.07774251,50.03819801
-105.4578116,25.86430053,50.03819801
-104.0828026,24.46170415,50.03819801
-102.901841,24.2711712,50.03819801
-101.2000371,22.85166036,50.03819801
-101.0346944,23.17168953,50.03819801
-100.7947602,23.3113984,50.03819801
-100.1195662,25.56499023,50.03819801
-107.2652337,27.44937684,48.90447306
-106.478149,26.36188645,48.90447306
-100.6636124,30.229166,48.67704026
-109.0015037,27.44845807,47.76501078
-108.0162939,28.96146039,47.76501078
-107.6333735,28.03433418,47.76501078
-107.5969669,27.89550165,47.76501078
-107.4596525,28.31025377,47.76501078
-107.037125,28.92471153,47.76501078
-104.4728403,24.75630272,47.76501078
-103.1629616,23.72889929,47.76501078
-102.0702544,22.52225505,47.76501078
-101.5914722,27.98834269,47.76501078
-107.1512631,27.15609535,47.00217149
-101.0787962,22.81022669,46.61979015
-100.8447153,23.11982444,46.61979015
-109.0838008,30.29193587,45.46879008
-108.259915,30.16968761,45.46879008
-108.1890622,30.13862447,45.46879008
-106.6490962,26.52437273,45.46879008
-105.1114561,25.49930349,45.46879008
-104.0870096,24.3156901,45.46879008
-104.0476534,24.09217743,45.46879008
-102.1181384,23.6186805,45.46879008
-101.7101241,29.14642791,45.46879008
-100.8002814,26.89443006,45.46879008
-99.61956434,26.27126994,45.46879008
-101.2248076,24.04411135,44.31198939
-100.3389673,24.84084177,44.31198939
-106.769047,27.99185765,43.14936686
-105.2010031,26.73048665,43.14936686
-105.0454471,26.97658002,43.14936686
-105.0171061,25.66219485,43.14936686
-102.9851416,24.3737644,43.14936686
-102.7282255,24.6350042,43.14936686
-102.3109895,28.95258718,43.14936686
-101.927356,23.09772561,43.14936686
-101.1847839,26.81740386,43.14936686
-101.1769029,22.47150821,43.14936686
-100.1698807,26.13758263,43.14936686
-99.66646609,26.19084509,43.14936686
-99.08381853,25.08094008,43.14936686
-98.4077759,31.6749992,43.14936686
-107.3446558,27.81664037,42.37104031
-92.117775,30.815834,42.2150628
-107.5863722,27.99499051,41.98090119
-106.957859,28.1146244,41.98090119
-103.6877761,24.35248484,41.98090119
-101.4528925,27.58381089,41.98090119
-101.0370316,22.93593961,41.98090119
-100.382971,24.01111809,41.98090119
-109.9971384,28.92421784,40.80657101
-109.1504584,28.56591261,40.80657101
-108.2797863,29.65310029,40.80657101
-107.8032572,28.04659177,40.80657101
-107.0502688,27.75623503,40.80657101
-106.477982,26.37131982,40.80657101
-105.457953,26.94741464,40.80657101
-105.3515586,25.41857535,40.80657101
-103.4822407,24.42171165,40.80657101
-102.5338745,23.61451074,40.80657101
-102.3736916,29.22038827,40.80657101
-101.6168087,28.25734803,40.80657101
-101.6154693,23.20219943,40.80657101
-101.0370214,27.97279676,40.80657101
-100.0999939,25.72342606,40.80657101
-98.96887814,22.17976905,40.80657101
-106.6076915,26.25492782,39.62635488
-106.1643612,25.66190332,39.62635488
-105.3415671,24.79019466,39.62635488
-101.076268,28.9875648,39.62635488
-100.0282169,25.4537022,39.62635488
-109.038169,29.78624284,38.44023131
-108.8503312,27.51210278,38.44023131
-108.4087254,29.67206435,38.44023131
-107.1762437,27.85085205,38.44023131
-106.743591,28.50099581,38.44023131
-104.9029108,26.22649509,38.44023131
-104.7321356,24.5162202,38.44023131
-104.0939562,24.72303556,38.44023131
-103.8784629,24.73250031,38.44023131
-103.6603278,24.81598683,38.44023131
-102.8032784,23.44946354,38.44023131
-102.1821923,29.34785048,38.44023131
-102.0984838,28.58593886,38.44023131
-101.6382995,22.92090913,38.44023131
-101.618474,28.14652173,38.44023131
-101.4455724,27.14203291,38.44023131
-101.3861206,22.94947894,38.44023131
-100.6733291,22.49746599,38.44023131
-100.4142918,25.7941169,38.44023131
-100.384468,26.49109956,38.44023131
-99.99370222,26.65311476,38.44023131
-107.7755882,27.64663178,37.2481787
-101.1268124,28.73175399,37.2481787
-99.92710179,25.90114143,37.2481787
-106.4515909,26.31160067,36.84950653
-109.1136222,27.51886386,36.05017543
-104.5054312,24.97434117,36.05017543
-103.3714036,25.11132356,36.05017543
-102.8502197,23.84498633,36.05017543
-102.245104,22.94557465,36.05017543
-102.2087022,23.80200206,36.05017543
-102.1051902,23.89566821,36.05017543
-101.7967545,23.25602164,36.05017543
-101.6402873,22.70910639,36.05017543
-101.3723092,27.62639747,36.05017543
-101.1763871,26.6053586,36.05017543
-100.7904556,27.02393582,36.05017543
-100.3370518,24.81368994,36.05017543
-100.1980659,26.6842823,36.05017543
-100.1074676,24.05563652,36.05017543
-99.98280529,25.41249379,36.05017543
-99.85401375,25.7294868,36.05017543
-99.60526986,25.73067356,36.05017543
-99.53144038,26.39967098,36.05017543
-99.33835575,24.62546269,36.05017543
-92.3922195,31.1749992,34.96686671
-110.2793596,29.84538096,34.84619976
-107.6329727,27.87430119,34.84619976
-102.5688416,24.29917128,34.84619976
-101.6376009,27.317453,34.84619976
-100.0854807,26.5920437,34.84619976
-104.8055573,32.8283348,34.28229445
-98.6100006,32.6572227,33.65869139
-110.2368055,28.67457263,33.63622993
-110.1083029,30.89494731,33.63622993
-109.8304893,30.35941957,33.63622993
-109.664373,30.34886735,33.63622993
-107.7745753,29.62768124,33.63622993
-106.4018581,27.93735719,33.63622993
-106.3088459,26.03310522,33.63622993
-105.9222514,27.71003156,33.63622993
-105.4450938,25.98944775,33.63622993
-104.4085236,25.82134416,33.63622993
-102.3616282,23.33052921,33.63622993
-102.1028205,22.75138954,33.63622993
-102.0204259,23.18156826,33.63622993
-101.6734085,27.931262,33.63622993
-101.5875619,23.35731546,33.63622993
-101.1179159,28.5276017,33.63622993
-101.0254614,26.70000688,33.63622993
-100.9943521,23.57036257,33.63622993
-99.88424375,25.78268716,33.63622993
-99.57898375,26.0689201,33.63622993
-108.1191377,29.49174352,32.42024407
-107.4695311,27.59223633,32.42024407
-106.5926945,28.01707741,32.42024407
-104.2373623,26.05857752,32.42024407
-103.8306938,24.43118082,32.42024407
-102.753156,23.2279493,32.42024407
-100.3129032,24.76667041,32.42024407
-99.48980245,24.94245217,32.42024407
-98.23464576,25.9402235,32.42024407
-109.4071262,28.86339653,31.19822026
-108.039898,28.96340715,31.19822026
-106.8063166,26.8649152,31.19822026
-106.7368656,27.56210034,31.19822026
-106.6947803,26.8865619,31.19822026
-105.5376705,26.08940055,31.19822026
-105.5015595,26.83464584,31.19822026
-105.1951669,26.95018902,31.19822026
-104.1089143,25.17147402,31.19822026
-103.6701945,24.64472843,31.19822026
-103.3293633,24.5330545,31.19822026
-103.1088601,24.73453554,31.19822026
-101.8466961,29.20400212,31.19822026
-101.6024997,29.27111505,31.19822026
-101.3667275,27.96645597,31.19822026
-101.1629072,26.27558586,31.19822026
-101.1194015,27.29929938,31.19822026
-100.8937443,28.4923216,31.19822026
-100.2880713,26.07201693,31.19822026
-100.2720221,25.87033359,31.19822026
-99.91143461,26.79697272,31.19822026
-108.9363861,33.1155548,30.953089
-93.686142,32.7869987,30.83043242
-108.0871823,29.11475141,29.97013649
-107.5537901,28.92063268,29.97013649
-106.6174163,28.19345292,29.97013649
-104.2694555,25.90603769,29.97013649
-101.7487035,23.17785021,29.97013649
-101.6136075,23.22106113,29.97013649
-101.5183045,27.94447612,29.97013649
-98.04710238,25.83359295,29.97013649
-104.746666,32.6074982,28.9832915
-98.1422195,30.9861107,28.9832915
-110.3741539,31.032714,28.73597072
-110.184707,31.02633445,28.73597072
-109.6851497,30.52051891,28.73597072
-109.264331,27.63712648,28.73597072
-108.5179813,29.67653716,28.73597072
-107.7418544,28.87591517,28.73597072
-107.3549258,24.72024479,28.73597072
-107.1712898,29.34195797,28.73597072
-106.8192816,28.66250812,28.73597072
-106.1808293,27.76116152,28.73597072
-105.5884099,27.16852618,28.73597072
-104.7317449,25.37219617,28.73597072
-104.1537824,24.85722378,28.73597072
-103.9259982,24.62011752,28.73597072
-103.1896462,24.75264651,28.73597072
-102.1086649,22.4620319,28.73597072
-101.7913505,27.99339712,28.73597072
-101.2560488,27.94144351,28.73597072
-101.1265088,26.12545687,28.73597072
-101.0811232,22.41095386,28.73597072
-100.7381256,26.65003618,28.73597072
-100.5218951,26.61601841,28.73597072
-100.3392812,26.12726878,28.73597072
-104.8233337,32.8288879,28.57095455
-104.3913879,32.4944458,27.74424417
-110.4427741,31.09910328,27.49570079
-106.7493575,27.39516258,27.49570079
-105.1443091,24.47562566,27.49570079
-105.0227773,24.95193073,27.49570079
-104.6651143,24.51738874,27.49570079
-101.2326356,28.09707801,27.49570079
-101.0058364,23.94644022,27.49570079
-100.9732475,27.44049717,27.49570079
-100.6440088,28.20261315,27.49570079
-91.95439911,30.90609932,27.37133721
-104.0504268,25.86179949,27.08091715
-109.3532387,27.95090678,26.2493045
-109.352965,28.49562963,26.2493045
-109.1748979,28.86228614,26.2493045
-108.8668014,27.38187403,26.2493045
-108.7405978,27.23868052,26.2493045
-108.1663415,29.15073276,26.2493045
-107.9064394,30.004936,26.2493045
-107.7358076,24.81034092,26.2493045
-107.2804665,28.51954643,26.2493045
-107.1774982,24.28595581,26.2493045
-106.8185243,27.45766225,26.2493045
-106.7281259,28.02654554,26.2493045
-105.5079548,26.82436664,26.2493045
-104.6059037,25.07100274,26.2493045
-103.7670375,24.39105174,26.2493045
-103.2976619,23.80335778,26.2493045
-103.248022,24.97648695,26.2493045
-103.2351629,24.90080589,26.2493045
-102.5474252,24.21150408,26.2493045
-102.5442428,22.974395,26.2493045
-102.3307534,23.93952519,26.2493045
-102.2226815,23.08501062,26.2493045
-102.1255828,22.31542287,26.2493045
-101.9855151,22.29207662,26.2493045
-101.0711178,23.56837151,26.2493045
-100.6045624,28.09262168,26.2493045
-100.5722598,26.20565464,26.2493045
-99.85881644,26.81866832,26.2493045
-99.79940863,25.10823534,26.2493045
-99.77816891,26.28967159,26.2493045
-98.28618403,25.70781227,26.2493045
